NRHP reference number,Name,Locality,Locality,Coordinates,County
74001381,Powell House,Wake,Wake,,Built in 1800 (circa)
,Pullen House,Raleigh,Raleigh,,Wake
76001329,Puppy Creek Plantation,"Rockfish
35°1′15″N 79°7′45″W",Rockfish,35°1′15″N 79°7′45″W,Hoke
88000238,Purefoy–Dunn Plantation,"Wake Forest
35°57′32″N 78°32′19″W",Wake Forest,35°57′32″N 78°32′19″W,Wake
73001298,Quaker Meadows,"Morganton (near)
35°45′26″N 81°43′15″W",Morganton (near),35°45′26″N 81°43′15″W,Burke
User supplied[21],Quewhiffle Plantation,Magnolia,Magnolia,,Sampson
8001365,Robinson Rock Plantation,"Charlotte
35°15′41″N 80°42′27″W",Charlotte,35°15′41″N 80°42′27″W,Mecklenburg
82003492,Rose Hill,Nashville,Nashville,,Nash
88000409,Marcus Royster Plantation,"Wilbourns
36°28′16″N 78°43′40″W",Wilbourns,36°28′16″N 78°43′40″W,Granville
74001342,Shelton Plantation House,"Edenton
36°4′56″N 76°37′47″W",Edenton,36°4′56″N 76°37′47″W,Chowan
73001338,Stagville Plantation,"Durham
36.116933°N 78.837781°W",Durham,36.116933°N 78.837781°W,Durham
1001132,Archibald Taylor Plantation House,"Oxford
36°19′18″N 78°32′31″W",Oxford,36°19′18″N 78°32′31″W,Granville
74001369,Waverly Plantation,"Cunningham
36°32′20″N 79°04′44″W",Cunningham,36°32′20″N 79°04′44″W,Person
80002866,Wood Lawn Plantation,"near Mount Mourne
35.518056°N 80.834722°W",near Mount Mourne,35.518056°N 80.834722°W,Iredell
86000420,Woodside Plantation,"Milton
36°31′32″N 79°11′2″W",Milton,36°31′32″N 79°11′2″W,Caswell
78001966,White Oak Plantation,"Charlotte
35°14′54″N 80°41′26″W",Charlotte,35°14′54″N 80°41′26″W,Mecklenburg
88000418,Lewis Wimbish Plantation,"Grassy Creek
36°31′21″N 78°35′22″W",Grassy Creek,36°31′21″N 78°35′22″W,Granville
73001351,Lebanon Plantation House,"Near Erwin
35°15′35″N 78°40′17″W",Near Erwin,35°15′35″N 78°40′17″W,Harnett
Preservation NC[22],Ashwood Plantation (William T. Smith House),Godwin,Godwin,,Cumberland
5001030,Thompson House,Wake Forest,Wake Forest,,Wake
74001378,Wakefields,Wake Forest,Wake Forest,,Wake
,Walnut Hall,Bahama,Bahama,,Durham
82003504,Wood Grove Plantation,"Bear Poplar
35°40′48″N 80°40′28″W",Bear Poplar,35°40′48″N 80°40′28″W,Rowan
User Supplied[23],Ardnave,Manchester,Manchester,,Cumberland
93000235,Chinqua Penn Plantation,"Reidsville
36°23′4″N 79°42′0″W",Reidsville,36°23′4″N 79°42′0″W,Rockingham
